Name,DL,PA,e,q0,ra,dec
IC1613,0.8,71,0.19,0.2,16.2017,2.1195
IC1727,8.3,-28.2,0.64,0.2,26.87454,27.33335
NGC0628,9.8,-60.7,0.15,0.18,24.17394,15.78364
NGC0660,9.0,3.6,0.6,0.15,25.75979,13.64568
NGC0672,8.3,68.1,0.55,0.13,26.97699,27.43278
NGC0864,14.8,23.0,0.32,0.15,33.86517,6.00262
NGC0891,9.9,202,-999.0,-999.0,35.63711,42.34832
NGC0925,9.2,287,-999.0,-999.0,36.82047,33.57888
NGC1055,12.3,-75.1,0.43,0.19,40.43847,0.44318
NGC2541,11.2,-13.2,0.47,0.13,123.66715,49.06167
NGC2841,14.1,-29.9,0.48,0.25,140.51116,50.97659
NGC2903,8.5,20.0,0.51,0.19,143.04213,21.50083
NGC3169,23.7,57.1,0.23,0.26,153.56266,3.46609
NGC3198,13.8,33.6,0.58,0.17,154.97913,45.54969
NGC3338,21.4,-80.2,0.44,0.18,160.5314,13.74699
NGC3344,10.0,-44.2,0.09,0.19,160.87979,24.92222
NGC3368,10.7,-0.7,0.44,0.16,161.6906,11.81994
NGC3432,14.0,38.2,0.78,0.14,163.12972,36.61878
NGC3486,14.7,81.7,0.25,0.16,165.09978,28.97482
NGC3521,11.2,-18.1,0.44,0.21,166.45237,-0.0359
NGC3556,9.6,80.0,0.64,0.16,167.87903,55.67412
NGC3628,10.1,-77.5,0.74,0.17,170.07091,13.58949
NGC3718,17.1,0.1,0.56,0.19,173.14524,53.06792
NGC4214,2.9,-59.6,0.09,0.2,183.91322,36.32689
NGC4244,4.3,45.7,0.82,0.13,184.37358,37.80711
NGC4254,16.8,82.1,0.2,0.19,184.70677,14.41649
NGC4258,7.6,-34.6,0.62,0.16,184.74008,47.30372
NGC4303,17.6,-36.1,0.17,0.16,185.47887,4.47378
NGC4395,4.7,-47.3,0.65,0.2,186.4536,33.54686
NGC4414,17.7,-17.5,0.21,0.16,186.61303,31.22351
NGC4449,4.2,69.9,0.35,0.14,187.04632,44.09356
NGC4490,9.2,-55.6,0.72,0.15,187.6437,41.6405
NGC4496A,14.9,68.2,0.15,0.14,187.91343,3.93934
NGC4437,11.1,81.5,0.82,0.18,188.18994,0.11504
NGC4527,17.6,66.8,0.54,0.16,188.5352,2.6541
NGC4532,13.8,-22.1,0.49,0.13,188.58054,6.4677
NGC4536,15.2,-54.8,0.59,0.18,188.6128,2.1883
NGC4559,8.9,-37.0,0.59,0.15,188.99017,27.95996
NGC4565,12.0,-45.2,0.76,0.23,189.08668,25.98739
NGC4618,7.7,11.1,0.23,0.13,190.38707,41.15088
NGC4625,11.8,-38.1,0.03,0.14,190.46963,41.27392
NGC4631,7.3,87.7,0.77,0.17,190.53337,32.54151
NGC4656,8.0,34.2,0.84,0.2,190.99037,32.17037
NGC4725,12.4,30.3,0.3,0.18,192.61072,25.50076
NGC4826,4.4,-64.3,0.45,0.18,194.18207,21.68266
NGC5033,18.5,-8.8,0.54,0.18,198.36473,36.59365
NGC5055,8.9,-73.6,0.43,0.16,198.95531,42.02937
NGC5194,8.6,-8.0,0.36,0.17,202.46958,47.19526
NGC5248,12.7,-79.2,0.28,0.18,204.38339,8.88514
NGC5457,7.0,49.0,0.23,0.19,210.80243,54.34875
NGC5474,5.6,6.0,0.2,0.2,211.2567,53.66221
NGC5775,19.8,-35.7,0.51,0.2,223.49022,3.54447
NGC5907,17.2,-26.2,0.79,0.21,228.9737,56.32885
NGC6384,25.9,-999.0,-999.0,-999.0,263.10119,7.06043
NGC7331,14.7,-999.0,-999.0,-999.0,339.26688,34.41578
SexB,1.4,-87.0,0.45,0.2,150.00342,5.33598
