PGC,Name,Dist,e_Dist,logM*,e_logM*,Gamma*,n_Gamma*,logSFR,e_logSFR,n_logSFR,DelMS,Flags,xuv,dp
3844,IC1613,0.8,0.04,8.03,0.1,0.47,SSFRLIKE,-2.55,0.2,FUV+WISE4,-1.14,"A,S",0,1
6574,IC1727,8.3,0.12,8.8,0.18,0.25,SSFRLIKE,-0.91,0.2,FUV+WISE4,-0.01,,0,0
5974,NGC0628,9.8,0.04,10.24,0.1,0.31,SSFRLIKE,0.23,0.2,FUV+WISE4,0.19,S,0,1
6318,NGC0660,9.0,0.12,9.79,0.1,0.21,SSFRLIKE,0.23,0.2,FUV+WISE4,0.48,"A,S",0,0
6595,NGC0672,8.3,0.12,9.37,0.12,0.33,SSFRLIKE,-0.68,0.2,FUV+WISE4,-0.16,S,0,0
8631,NGC0864,14.8,0.12,9.81,0.1,0.32,SSFRLIKE,-0.21,0.2,FUV+WISE4,0.03,S,0,0
9031,NGC0891,9.9,0.04,10.72,0.1,0.42,SSFRLIKE,0.32,0.2,FUV+WISE4,-0.05,S,0,1
9332,NGC0925,9.2,0.06,9.75,0.11,0.29,SSFRLIKE,-0.17,0.2,FUV+WISE4,0.11,S,0,1
10208,NGC1055,12.3,0.12,10.44,0.1,0.41,SSFRLIKE,0.07,0.2,FUV+WISE4,-0.11,,0,0
23110,NGC2541,11.2,0.06,9.09,0.12,0.24,SSFRLIKE,-0.62,0.2,FUV+WISE4,0.1,,1,0
26512,NGC2841,14.1,0.06,10.93,0.1,0.5,SSFRLIKE,-0.07,0.2,FUV+WISE4,,,1,1
27077,NGC2903,8.5,0.12,10.42,0.1,0.34,SSFRLIKE,0.32,0.2,FUV+WISE4,0.15,A,0,1
29855,NGC3169,23.7,0.12,10.98,0.1,0.5,SSFRLIKE,0.29,0.2,FUV+WISE4,-0.25,S,0,0
30197,NGC3198,13.8,0.06,10.05,0.1,0.32,SSFRLIKE,0.01,0.2,FUV+WISE4,0.09,,1,1
31883,NGC3338,21.4,0.12,10.2,0.1,0.43,SSFRLIKE,-0.25,0.2,FUV+WISE4,-0.27,,0,1
31968,NGC3344,10.0,0.12,10.29,0.1,0.41,SSFRLIKE,-0.08,0.2,FUV+WISE4,-0.17,S,1,0
32192,NGC3368,10.7,0.04,10.67,0.1,0.5,SSFRLIKE,-0.29,0.2,FUV+WISE4,-0.62,,0,0
32643,NGC3432,14.0,0.12,9.66,0.12,0.26,SSFRLIKE,-0.1,0.2,FUV+WISE4,0.24,S,0,0
33166,NGC3486,14.7,0.12,10.0,0.1,0.3,SSFRLIKE,0.06,0.2,FUV+WISE4,0.17,,0,0
33550,NGC3521,11.2,0.12,10.83,0.1,0.42,SSFRLIKE,0.42,0.2,FUV+WISE4,-0.02,S,0,1
34030,NGC3556,9.6,0.12,9.94,0.1,0.28,SSFRLIKE,0.09,0.2,FUV+WISE4,0.24,S,0,0
34697,NGC3628,10.1,0.12,10.61,0.1,0.41,SSFRLIKE,0.25,0.2,FUV+WISE4,-0.05,,0,1
35616,NGC3718,17.1,0.12,10.48,0.1,0.5,SSFRLIKE,-0.66,0.2,FUV+WISE4,,S,0,1
39225,NGC4214,2.9,0.04,8.55,0.1,0.2,SSFRLIKE,-0.91,0.2,FUV+WISE4,0.16,,0,1
39422,NGC4244,4.3,0.04,9.2,0.1,0.35,SSFRLIKE,-0.95,0.2,FUV+WISE4,-0.31,,0,1
39578,NGC4254,16.8,0.12,10.52,0.1,0.27,SSFRLIKE,0.7,0.2,FUV+WISE4,0.46,,1,1
39600,NGC4258,7.6,0.04,10.67,0.1,0.5,SSFRLIKE,-0.03,0.2,FUV+WISE4,-0.36,S,1,1
40001,NGC4303,17.6,0.12,10.67,0.1,0.3,SSFRLIKE,0.74,0.2,FUV+WISE4,0.41,,0,0
40596,NGC4395,4.7,0.04,8.57,0.1,0.2,SSFRLIKE,-0.93,0.2,FUV+WISE4,0.12,,0,0
40692,NGC4414,17.7,0.06,10.65,0.1,0.36,SSFRLIKE,0.46,0.2,FUV+WISE4,0.14,S,1,0
41618,NGC4437,11.1,0.12,10.22,0.1,0.41,SSFRLIKE,-0.15,0.2,FUV+WISE4,-0.18,S,0,1
40973,NGC4449,4.2,0.04,9.03,0.1,0.2,SSFRLIKE,-0.37,0.2,FUV+WISE4,0.38,S,0,1
41333,NGC4490,9.2,0.12,9.73,0.1,0.2,SSFRLIKE,0.23,0.2,FUV+WISE4,0.52,,0,0
41471,NGC4496A,14.9,0.06,9.58,0.12,0.27,SSFRLIKE,-0.22,0.2,FUV+WISE4,0.16,,0,1
41789,NGC4527,17.6,0.12,10.66,0.1,0.34,SSFRLIKE,0.54,0.2,FUV+WISE4,0.22,S,0,1
41811,NGC4532,13.8,0.12,9.25,0.1,0.2,SSFRLIKE,-0.16,0.2,FUV+WISE4,0.44,S,0,1
41823,NGC4536,15.2,0.06,10.19,0.1,0.25,SSFRLIKE,0.47,0.2,FUV+WISE4,0.45,A,0,1
42002,NGC4559,8.9,0.04,9.81,0.1,0.31,SSFRLIKE,-0.18,0.2,FUV+WISE4,0.05,S,1,1
42038,NGC4565,12.0,0.04,10.88,0.1,0.5,SSFRLIKE,0.04,0.2,FUV+WISE4,-0.43,,0,1
42575,NGC4618,7.7,0.04,9.2,0.1,0.28,SSFRLIKE,-0.68,0.2,FUV+WISE4,-0.04,,0,1
42607,NGC4625,11.8,0.04,9.08,0.1,0.33,SSFRLIKE,-0.98,0.2,FUV+WISE4,-0.26,,1,1
42637,NGC4631,7.3,0.04,10.05,0.1,0.25,SSFRLIKE,0.3,0.2,FUV+WISE4,0.38,,0,1
42863,NGC4656,8.0,0.04,8.83,0.1,0.2,SSFRLIKE,-0.24,0.2,FUV+WISE4,0.64,,0,1
43451,NGC4725,12.4,0.06,10.76,0.1,0.5,SSFRLIKE,-0.09,0.2,FUV+WISE4,-0.48,,0,1
44182,NGC4826,4.4,0.04,10.2,0.1,0.5,SSFRLIKE,-0.71,0.2,FUV+WISE4,-0.73,S,0,1
45948,NGC5033,18.5,0.12,10.75,0.1,0.39,SSFRLIKE,0.46,0.2,FUV+WISE4,0.08,,0,1
46153,NGC5055,8.9,0.04,10.72,0.1,0.43,SSFRLIKE,0.28,0.2,FUV+WISE4,-0.09,S,1,1
47404,NGC5194,8.6,0.04,10.73,0.1,0.33,SSFRLIKE,0.65,0.2,FUV+WISE4,0.28,S,0,1
48130,NGC5248,12.7,0.12,10.2,0.1,0.32,SSFRLIKE,0.18,0.2,FUV+WISE4,0.16,,0,1
50063,NGC5457,7.0,0.04,10.39,0.1,0.28,SSFRLIKE,0.54,0.2,FUV+WISE4,0.39,,1,1
50216,NGC5474,5.6,0.12,8.67,0.1,0.3,SSFRLIKE,-1.27,0.2,FUV+WISE4,-0.28,,0,1
53247,NGC5775,19.8,0.12,10.47,0.1,0.32,SSFRLIKE,0.46,0.2,FUV+WISE4,0.26,S,0,0
54470,NGC5907,17.2,0.04,10.84,0.1,0.44,SSFRLIKE,0.34,0.2,FUV+WISE4,-0.1,,0,1
60459,NGC6384,25.9,0.12,10.76,0.1,0.46,SSFRLIKE,0.22,0.2,FUV+WISE4,-0.17,,0,0
69327,NGC7331,14.7,0.06,11.0,0.1,0.44,SSFRLIKE,0.53,0.2,FUV+WISE4,-0.02,S,0,1
28913,SexB,1.4,0.04,7.37,0.16,0.34,SSFRLIKE,-2.72,0.2,FUV+WISE4,-0.88,,0,0
